,ensembl_gene_id,hgnc_symbol,gene_biotype,external_gene_name
1,ENSG00000210049,MT-TF,Mt_tRNA,MT-TF
2,ENSG00000211459,MT-RNR1,Mt_rRNA,MT-RNR1
3,ENSG00000210077,MT-TV,Mt_tRNA,MT-TV
4,ENSG00000210082,MT-RNR2,Mt_rRNA,MT-RNR2
5,ENSG00000209082,MT-TL1,Mt_tRNA,MT-TL1
6,ENSG00000198888,MT-ND1,protein_coding,MT-ND1
7,ENSG00000210100,MT-TI,Mt_tRNA,MT-TI
8,ENSG00000210107,MT-TQ,Mt_tRNA,MT-TQ
9,ENSG00000210112,MT-TM,Mt_tRNA,MT-TM
10,ENSG00000198763,MT-ND2,protein_coding,MT-ND2
11,ENSG00000210117,MT-TW,Mt_tRNA,MT-TW
12,ENSG00000210127,MT-TA,Mt_tRNA,MT-TA
13,ENSG00000210135,MT-TN,Mt_tRNA,MT-TN
14,ENSG00000210140,MT-TC,Mt_tRNA,MT-TC
15,ENSG00000210144,MT-TY,Mt_tRNA,MT-TY
16,ENSG00000198804,MT-CO1,protein_coding,MT-CO1
17,ENSG00000210151,MT-TS1,Mt_tRNA,MT-TS1
18,ENSG00000210154,MT-TD,Mt_tRNA,MT-TD
19,ENSG00000198712,MT-CO2,protein_coding,MT-CO2
20,ENSG00000210156,MT-TK,Mt_tRNA,MT-TK
21,ENSG00000228253,MT-ATP8,protein_coding,MT-ATP8
22,ENSG00000198899,MT-ATP6,protein_coding,MT-ATP6
23,ENSG00000198938,MT-CO3,protein_coding,MT-CO3
24,ENSG00000210164,MT-TG,Mt_tRNA,MT-TG
25,ENSG00000198840,MT-ND3,protein_coding,MT-ND3
26,ENSG00000210174,MT-TR,Mt_tRNA,MT-TR
27,ENSG00000212907,MT-ND4L,protein_coding,MT-ND4L
28,ENSG00000198886,MT-ND4,protein_coding,MT-ND4
29,ENSG00000210176,MT-TH,Mt_tRNA,MT-TH
30,ENSG00000210184,MT-TS2,Mt_tRNA,MT-TS2
31,ENSG00000210191,MT-TL2,Mt_tRNA,MT-TL2
32,ENSG00000198786,MT-ND5,protein_coding,MT-ND5
33,ENSG00000198695,MT-ND6,protein_coding,MT-ND6
34,ENSG00000210194,MT-TE,Mt_tRNA,MT-TE
35,ENSG00000198727,MT-CYB,protein_coding,MT-CYB
36,ENSG00000210195,MT-TT,Mt_tRNA,MT-TT
37,ENSG00000210196,MT-TP,Mt_tRNA,MT-TP
38,ENSG00000278457,,rRNA,5S_rRNA
39,ENSG00000278704,,protein_coding,
40,ENSG00000271254,,protein_coding,
41,ENSG00000280538,,lncRNA,
42,ENSG00000275151,,processed_pseudogene,
43,ENSG00000278294,,rRNA,5_8S_rRNA
44,ENSG00000281806,,lncRNA,
45,ENSG00000279969,,lncRNA,
46,ENSG00000281362,,lncRNA,LINC01115
47,ENSG00000274882,LINC02109,lncRNA,LINC02109
48,ENSG00000277995,,snoRNA,
49,ENSG00000281486,SNTG2,protein_coding,SNTG2
50,ENSG00000262826,INTS3,protein_coding,INTS3
51,ENSG00000273735,KIR3DL2,protein_coding,KIR3DL2
52,ENSG00000280663,PCMTD2,protein_coding,PCMTD2
53,ENSG00000276433,KIR3DL3,protein_coding,KIR3DL3
54,ENSG00000276379,KIR3DL1,protein_coding,KIR3DL1
55,ENSG00000278788,SBNO2,protein_coding,SBNO2
56,ENSG00000273947,KIR2DL3,protein_coding,KIR2DL3
57,ENSG00000276595,PTCHD3,protein_coding,PTCHD3
58,ENSG00000274861,LILRP2,transcribed_processed_pseudogene,LILRP2
59,ENSG00000275442,LILRP2,transcribed_processed_pseudogene,LILRP2
60,ENSG00000276518,KIR3DP1,protein_coding,KIR3DP1
61,ENSG00000276779,KIR2DL4,protein_coding,KIR2DL4
62,ENSG00000278152,KIR2DS2,protein_coding,KIR2DS2
63,ENSG00000274339,LILRP1,unprocessed_pseudogene,LILRP1
64,ENSG00000275336,,unprocessed_pseudogene,
65,ENSG00000277484,KIR2DL3,protein_coding,KIR2DL3
66,ENSG00000277044,OPRL1,protein_coding,OPRL1
67,ENSG00000276777,ODAD2P1,unprocessed_pseudogene,ODAD2P1
68,ENSG00000273775,KIR3DL1,protein_coding,KIR3DL1
69,ENSG00000277267,LILRP2,transcribed_processed_pseudogene,LILRP2
70,ENSG00000273681,FAM210CP,processed_pseudogene,FAM210CP
71,ENSG00000278364,TRIAP1P1,processed_pseudogene,TRIAP1P1
72,ENSG00000273501,,snRNA,U6
73,ENSG00000276858,FCAR,protein_coding,FCAR
74,ENSG00000278036,,snRNA,U6
75,ENSG00000277339,NPBWR2,protein_coding,NPBWR2
76,ENSG00000276534,KIR3DS1,protein_coding,KIR3DS1
77,ENSG00000280579,,lncRNA,
78,ENSG00000280695,,lncRNA,
79,ENSG00000277921,LILRP1,unprocessed_pseudogene,LILRP1
80,ENSG00000276044,KIR2DL4,protein_coding,KIR2DL4
81,ENSG00000276970,,unprocessed_pseudogene,
82,ENSG00000276876,MYT1,protein_coding,MYT1
83,ENSG00000275717,KIR3DL1,protein_coding,KIR3DL1
84,ENSG00000277554,KIR2DL3,protein_coding,KIR2DL3
85,ENSG00000280708,,lncRNA,
86,ENSG00000277272,KIR3DL1,protein_coding,KIR3DL1
87,ENSG00000278074,KIR2DL4,protein_coding,KIR2DL4
88,ENSG00000281416,,lncRNA,
89,ENSG00000275974,PPIAL4F,protein_coding,PPIAL4F
90,ENSG00000276885,KIR2DS4,protein_coding,KIR2DS4
91,ENSG00000262025,,processed_pseudogene,
